model_version,model,format,camera,gt_camera,trd_median,trd_p95,trd_mean,n_gt_events,n_matched,n_missed,n_faux_positifs,precision,recall,f1
V3,yolo11s,fp32_engine,cam_02,cam_02_20260506_131002,-0.92,-0.92,-0.92,6,1,5,3,0.25,0.1667,0.2
V3,yolo11s,fp32_engine,cam_03,cam_03_20260506_131002,0.44,0.908,0.56,7,3,4,1,0.75,0.4286,0.5455
V3,yolo11s,fp32_engine,cam_05,cam_05_20260506_131002,-0.92,0.832,-0.6,7,5,2,3,0.625,0.7143,0.6667
V3,yolo11s,fp32_engine,cam_07,cam_07_20260506_131002,1.34,4.022,1.34,7,2,5,0,1.0,0.2857,0.4444
V3,yolo11s,pt,cam_02,cam_02_20260506_131002,2.16,4.342,2.03,6,4,2,4,0.5,0.6667,0.5714
V3,yolo11s,pt,cam_03,cam_03_20260506_131002,0.16,0.268,0.16,7,3,4,5,0.375,0.4286,0.4
V3,yolo11s,pt,cam_05,cam_05_20260506_131002,-0.14,0.922,-0.14,7,2,5,3,0.4,0.2857,0.3333
V3,yolo11s,pt,cam_07,cam_07_20260506_131002,1.34,4.058,1.34,7,2,5,0,1.0,0.2857,0.4444
V3,yolov8n,fp32_engine,cam_02,cam_02_20260506_131002,0.36,1.404,0.453,6,3,3,7,0.3,0.5,0.375
V3,yolov8n,fp32_engine,cam_03,cam_03_20260506_131002,0.1,0.8,0.26,7,4,3,5,0.4444,0.5714,0.5
V3,yolov8n,fp32_engine,cam_05,cam_05_20260506_131002,-0.6,0.912,-0.24,7,3,4,2,0.6,0.4286,0.5
V3,yolov8n,fp32_engine,cam_07,cam_07_20260506_131002,0.52,3.92,-0.416,7,5,2,2,0.7143,0.7143,0.7143
V3,yolov8n,pt,cam_02,cam_02_20260506_131002,1.7,3.662,1.7,6,2,4,3,0.4,0.3333,0.3636
V3,yolov8n,pt,cam_03,cam_03_20260506_131002,0.48,3.164,1.05,7,4,3,5,0.4444,0.5714,0.5
V3,yolov8n,pt,cam_05,cam_05_20260506_131002,-0.02,0.624,-0.13,7,4,3,5,0.4444,0.5714,0.5
V3,yolov8n,pt,cam_07,cam_07_20260506_131002,0.88,4.014,1.11,7,4,3,1,0.8,0.5714,0.6667
V3,yolov8s,fp32_engine,cam_02,cam_02_20260506_131002,-0.24,1.704,0.453,6,3,3,5,0.375,0.5,0.4286
V3,yolov8s,fp32_engine,cam_03,cam_03_20260506_131002,0.14,2.12,-0.987,7,6,1,5,0.5455,0.8571,0.6667
V3,yolov8s,fp32_engine,cam_05,cam_05_20260506_131002,-0.16,0.956,-0.24,7,3,4,1,0.75,0.4286,0.5455
V3,yolov8s,fp32_engine,cam_07,cam_07_20260506_131002,0.28,3.916,1.2,7,3,4,1,0.75,0.4286,0.5455
V3,yolov8s,pt,cam_02,cam_02_20260506_131002,-0.36,2.772,-1.22,6,4,2,6,0.4,0.6667,0.5
V3,yolov8s,pt,cam_03,cam_03_20260506_131002,0.12,0.776,0.112,7,5,2,5,0.5,0.7143,0.5882
V3,yolov8s,pt,cam_05,cam_05_20260506_131002,0.08,1.816,0.272,7,5,2,5,0.5,0.7143,0.5882
V3,yolov8s,pt,cam_07,cam_07_20260506_131002,4.32,4.32,4.32,7,1,6,0,1.0,0.1429,0.25
