phase,task,model_version,model,format,camera,gt_camera,metric_median,metric_p95,metric_mean,precision,recall,f1,n_faux_positifs,far_per_hour,fps,latency_mean_ms,alerts_duplicated,global_id_switches,source_csv
phase2,trd,,yolov8s,pt,cam_07,,,,,0.0,0.0,0.0,0,0.0,68.4,14.6,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V2_pt\cam_07\yolov8s\trd_cam_07_20260506_131002_Camera_7_2.11_20260506_131002_pt.csv
phase2,trd,,yolo11s,fp32_engine,cam_02,,0.24,2.064,0.384,0.625,0.8333,0.7143,3,18.04,103.1,9.7,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V3_fp32_engine\cam_02\yolo11s\trd_cam_02_20260506_131002_Camera_2_2.3_20260506_131002_engine.csv
phase2,trd,,yolov8n,fp32_engine,cam_02,,0.18,1.65,-0.867,0.6667,1.0,0.8,3,18.04,119.1,8.4,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V3_fp32_engine\cam_02\yolov8n\trd_cam_02_20260506_131002_Camera_2_2.3_20260506_131002_engine.csv
phase2,trd,,yolov8s,fp32_engine,cam_02,,1.04,2.188,1.03,0.6667,0.6667,0.6667,2,12.03,109.4,9.1,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V3_fp32_engine\cam_02\yolov8s\trd_cam_02_20260506_131002_Camera_2_2.3_20260506_131002_engine.csv
phase2,trd,,yolo11s,fp32_engine,cam_03,,,,,0.0,0.0,0.0,0,0.0,109.6,9.1,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V3_fp32_engine\cam_03\yolo11s\trd_cam_03_20260506_131002_Camera_3_2.4_20260506_131002_engine.csv
phase2,trd,,yolov8n,fp32_engine,cam_03,,-0.44,-0.188,-0.413,0.5,0.4286,0.4615,3,18.04,121.7,8.2,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V3_fp32_engine\cam_03\yolov8n\trd_cam_03_20260506_131002_Camera_3_2.4_20260506_131002_engine.csv
phase2,trd,,yolov8s,fp32_engine,cam_03,,-0.2,-0.056,-0.2,0.6667,0.2857,0.4,1,6.01,113.0,8.8,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V3_fp32_engine\cam_03\yolov8s\trd_cam_03_20260506_131002_Camera_3_2.4_20260506_131002_engine.csv
phase2,trd,,yolo11s,fp32_engine,cam_05,,-2.36,1.992,-2.528,0.4167,0.7143,0.5263,7,42.1,106.3,9.4,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V3_fp32_engine\cam_05\yolo11s\trd_cam_05_20260506_131002_Camera_5_2.6_20260506_131002_engine.csv
phase2,trd,,yolov8n,fp32_engine,cam_05,,-2.04,2.048,-1.768,0.3846,0.7143,0.5,8,48.12,120.3,8.3,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V3_fp32_engine\cam_05\yolov8n\trd_cam_05_20260506_131002_Camera_5_2.6_20260506_131002_engine.csv
phase2,trd,,yolov8s,fp32_engine,cam_05,,-2.24,2.008,-1.848,0.3846,0.7143,0.5,8,48.12,110.3,9.1,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V3_fp32_engine\cam_05\yolov8s\trd_cam_05_20260506_131002_Camera_5_2.6_20260506_131002_engine.csv
phase2,trd,,yolo11s,fp32_engine,cam_07,,-0.44,7.63,0.467,0.3333,0.8571,0.48,12,72.18,99.6,10.0,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V3_fp32_engine\cam_07\yolo11s\trd_cam_07_20260506_131002_Camera_7_2.11_20260506_131002_engine.csv
phase2,trd,,yolov8n,fp32_engine,cam_07,,0.62,7.58,1.567,0.375,0.8571,0.5217,10,60.15,117.8,8.5,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V3_fp32_engine\cam_07\yolov8n\trd_cam_07_20260506_131002_Camera_7_2.11_20260506_131002_engine.csv
phase2,trd,,yolov8s,fp32_engine,cam_07,,4.56,8.988,4.34,0.3333,0.5714,0.4211,8,48.12,106.2,9.4,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V3_fp32_engine\cam_07\yolov8s\trd_cam_07_20260506_131002_Camera_7_2.11_20260506_131002_engine.csv
phase2,trd,,rtdetr-l,pt,cam_02,,0.24,1.584,0.304,0.625,0.8333,0.7143,3,18.04,24.3,41.2,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V3_pt\cam_02\rtdetr-l\trd_cam_02_20260506_131002_Camera_2_2.3_20260506_131002_pt.csv
phase2,trd,,yolo11s,pt,cam_02,,0.24,2.064,0.384,0.625,0.8333,0.7143,3,18.04,53.1,18.8,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V3_pt\cam_02\yolo11s\trd_cam_02_20260506_131002_Camera_2_2.3_20260506_131002_pt.csv
phase2,trd,,yolov8n,pt,cam_02,,0.18,1.65,-1.067,0.6667,1.0,0.8,3,18.04,64.8,15.4,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V3_pt\cam_02\yolov8n\trd_cam_02_20260506_131002_Camera_2_2.3_20260506_131002_pt.csv
phase2,trd,,yolov8s,pt,cam_02,,1.04,2.188,1.03,0.6667,0.6667,0.6667,2,12.03,68.1,14.7,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V3_pt\cam_02\yolov8s\trd_cam_02_20260506_131002_Camera_2_2.3_20260506_131002_pt.csv
phase2,trd,,rtdetr-l,pt,cam_03,,-0.3,0.916,-0.06,0.4,0.5714,0.4706,6,36.09,23.9,41.9,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V3_pt\cam_03\rtdetr-l\trd_cam_03_20260506_131002_Camera_3_2.4_20260506_131002_pt.csv
phase2,trd,,yolo11s,pt,cam_03,,,,,0.0,0.0,0.0,0,0.0,53.8,18.6,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V3_pt\cam_03\yolo11s\trd_cam_03_20260506_131002_Camera_3_2.4_20260506_131002_pt.csv
phase2,trd,,yolov8n,pt,cam_03,,-0.14,-0.05,-0.14,0.6667,0.2857,0.4,1,6.01,65.4,15.3,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V3_pt\cam_03\yolov8n\trd_cam_03_20260506_131002_Camera_3_2.4_20260506_131002_pt.csv
phase2,trd,,yolov8s,pt,cam_03,,-0.2,-0.056,-0.2,0.5,0.2857,0.3636,2,12.03,70.3,14.2,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V3_pt\cam_03\yolov8s\trd_cam_03_20260506_131002_Camera_3_2.4_20260506_131002_pt.csv
phase2,trd,,rtdetr-l,pt,cam_05,,-3.96,1.752,-3.928,0.2778,0.7143,0.4,13,78.19,23.1,43.2,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V3_pt\cam_05\rtdetr-l\trd_cam_05_20260506_131002_Camera_5_2.6_20260506_131002_pt.csv
phase2,trd,,yolo11s,pt,cam_05,,-1.84,2.048,-1.768,0.4167,0.7143,0.5263,7,42.1,53.8,18.6,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V3_pt\cam_05\yolo11s\trd_cam_05_20260506_131002_Camera_5_2.6_20260506_131002_pt.csv
phase2,trd,,yolov8n,pt,cam_05,,-2.04,2.048,-1.128,0.4545,0.7143,0.5556,6,36.09,65.5,15.3,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V3_pt\cam_05\yolov8n\trd_cam_05_20260506_131002_Camera_5_2.6_20260506_131002_pt.csv
phase2,trd,,yolov8s,pt,cam_05,,-2.24,2.048,-1.648,0.4167,0.7143,0.5263,7,42.1,68.7,14.6,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V3_pt\cam_05\yolov8s\trd_cam_05_20260506_131002_Camera_5_2.6_20260506_131002_pt.csv
phase2,trd,,rtdetr-l,pt,cam_07,,0.84,7.936,0.544,0.2941,0.7143,0.4167,12,72.18,24.5,40.8,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V3_pt\cam_07\rtdetr-l\trd_cam_07_20260506_131002_Camera_7_2.11_20260506_131002_pt.csv
phase2,trd,,yolo11s,pt,cam_07,,-0.04,7.63,0.633,0.3333,0.8571,0.48,12,72.18,50.6,19.8,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V3_pt\cam_07\yolo11s\trd_cam_07_20260506_131002_Camera_7_2.11_20260506_131002_pt.csv
phase2,trd,,yolov8n,pt,cam_07,,0.22,7.73,1.667,0.4,0.8571,0.5455,9,54.13,64.6,15.5,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V3_pt\cam_07\yolov8n\trd_cam_07_20260506_131002_Camera_7_2.11_20260506_131002_pt.csv
phase2,trd,,yolov8s,pt,cam_07,,2.84,8.708,3.693,0.3333,0.4286,0.375,6,36.09,67.6,14.8,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase2\trd\V3_pt\cam_07\yolov8s\trd_cam_07_20260506_131002_Camera_7_2.11_20260506_131002_pt.csv
phase3,tad,V2,rtdetr-l,pt,cam_02,cam_02_20260506_131002,0.0,0.054,-0.091,0.0028,1.0,0.0056,5003,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V2,rtdetr-l,pt,cam_03,cam_03_20260506_131002,0.0,0.544,-0.507,0.0169,1.0,0.0331,525,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V2,rtdetr-l,pt,cam_05,cam_05_20260506_131002,0.0,0.414,0.06,0.0045,1.0,0.0089,3106,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V2,rtdetr-l,pt,cam_07,cam_07_20260506_131002,0.0,0.368,0.027,0.0018,1.0,0.0036,6727,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V2,yolo11n,fp32_engine,cam_02,cam_02_20260506_131002,-0.02,5.49,0.311,0.0029,1.0,0.0059,4736,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V2,yolo11n,fp32_engine,cam_03,cam_03_20260506_131002,0.0,6.016,0.893,0.0621,1.0,0.1169,136,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V2,yolo11n,fp32_engine,cam_05,cam_05_20260506_131002,0.0,0.288,-0.126,0.0021,0.9286,0.0041,6269,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V2,yolo11n,fp32_engine,cam_07,cam_07_20260506_131002,0.76,6.44,1.338,0.0479,0.75,0.09,179,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V2,yolo11n,pt,cam_02,cam_02_20260506_131002,-0.04,2.82,0.357,0.0043,1.0,0.0085,3252,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V2,yolo11n,pt,cam_03,cam_03_20260506_131002,-0.02,7.36,1.185,0.1429,0.8889,0.2462,48,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V2,yolo11n,pt,cam_05,cam_05_20260506_131002,-0.02,0.098,-0.293,0.0019,0.8571,0.0039,6146,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V2,yolo11n,pt,cam_07,cam_07_20260506_131002,0.68,6.712,1.436,0.0703,0.75,0.1286,119,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V2,yolo11s,fp32_engine,cam_02,cam_02_20260506_131002,0.12,4.968,0.951,0.002,0.9286,0.004,6406,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V2,yolo11s,fp32_engine,cam_03,cam_03_20260506_131002,0.28,6.588,1.04,0.0598,0.7778,0.1111,110,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V2,yolo11s,fp32_engine,cam_05,cam_05_20260506_131002,0.4,5.444,1.366,0.0048,1.0,0.0095,2907,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V2,yolo11s,fp32_engine,cam_07,cam_07_20260506_131002,1.16,8.988,2.373,0.0291,1.0,0.0565,401,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V2,yolo11s,pt,cam_02,cam_02_20260506_131002,0.08,1.992,0.254,0.0026,1.0,0.0051,5435,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V2,yolo11s,pt,cam_03,cam_03_20260506_131002,0.22,7.23,1.993,0.0606,0.6667,0.1111,93,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V2,yolo11s,pt,cam_05,cam_05_20260506_131002,0.16,5.288,0.974,0.0048,1.0,0.0095,2926,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V2,yolo11s,pt,cam_07,cam_07_20260506_131002,1.14,8.988,2.387,0.0232,1.0,0.0454,505,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V2,yolo26n,fp32_engine,cam_02,cam_02_20260506_131002,1.12,4.424,1.486,0.044,0.5,0.0809,152,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V2,yolo26n,fp32_engine,cam_03,cam_03_20260506_131002,1.44,2.524,1.64,0.2667,0.4444,0.3333,11,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V2,yolo26n,fp32_engine,cam_05,cam_05_20260506_131002,3.14,6.524,2.665,0.0104,0.5714,0.0205,759,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V2,yolo26n,fp32_engine,cam_07,cam_07_20260506_131002,2.48,5.144,2.217,0.1094,0.5833,0.1842,57,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V2,yolo26n,pt,cam_02,cam_02_20260506_131002,-0.8,2.678,-1.19,0.0036,0.5714,0.0072,2194,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V2,yolo26n,pt,cam_03,cam_03_20260506_131002,1.44,2.7,1.76,0.75,0.3333,0.4615,1,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V2,yolo26n,pt,cam_05,cam_05_20260506_131002,1.36,6.204,2.629,0.013,0.5,0.0254,531,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V2,yolo26n,pt,cam_07,cam_07_20260506_131002,5.28,5.28,5.28,0.0323,0.0833,0.0465,30,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V2,yolov8n,fp32_engine,cam_02,cam_02_20260506_131002,0.0,2.82,0.546,0.0019,1.0,0.0037,7526,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V2,yolov8n,fp32_engine,cam_03,cam_03_20260506_131002,0.18,6.378,0.85,0.1039,0.8889,0.186,69,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V2,yolov8n,fp32_engine,cam_05,cam_05_20260506_131002,0.02,2.828,0.497,0.0074,0.8571,0.0147,1604,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V2,yolov8n,fp32_engine,cam_07,cam_07_20260506_131002,0.6,7.924,1.752,0.0135,0.8333,0.0266,731,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V2,yolov8n,pt,cam_02,cam_02_20260506_131002,0.0,0.832,0.137,0.0021,1.0,0.0042,6589,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V2,yolov8n,pt,cam_03,cam_03_20260506_131002,0.88,7.956,2.72,0.1176,0.4444,0.186,30,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V2,yolov8n,pt,cam_05,cam_05_20260506_131002,0.06,2.234,0.4,0.0047,0.8571,0.0093,2554,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V2,yolov8n,pt,cam_07,cam_07_20260506_131002,0.78,8.578,2.393,0.0214,1.0,0.0418,550,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V2,yolov8s,fp32_engine,cam_02,cam_02_20260506_131002,-0.02,2.004,0.243,0.0169,1.0,0.0333,813,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V2,yolov8s,fp32_engine,cam_03,cam_03_20260506_131002,0.24,7.382,1.67,0.0597,0.8889,0.1119,126,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V2,yolov8s,fp32_engine,cam_05,cam_05_20260506_131002,0.16,1.28,0.215,0.0276,0.7857,0.0534,387,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V2,yolov8s,fp32_engine,cam_07,cam_07_20260506_131002,0.8,7.886,1.727,0.0313,1.0,0.0608,371,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V2,yolov8s,pt,cam_02,cam_02_20260506_131002,-0.02,2.004,0.183,0.0163,1.0,0.032,847,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V2,yolov8s,pt,cam_03,cam_03_20260506_131002,0.0,6.704,1.389,0.0854,0.7778,0.1538,75,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V2,yolov8s,pt,cam_05,cam_05_20260506_131002,0.0,1.3,0.153,0.0294,0.7857,0.0567,363,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V2,yolov8s,pt,cam_07,cam_07_20260506_131002,1.24,7.16,2.077,0.026,1.0,0.0507,449,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V3,rtdetr-l,pt,cam_02,cam_02_20260506_131002,0.0,0.136,-0.043,0.0018,1.0,0.0035,7935,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V3,rtdetr-l,pt,cam_03,cam_03_20260506_131002,0.0,5.232,0.876,0.0209,1.0,0.0409,422,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V3,rtdetr-l,pt,cam_05,cam_05_20260506_131002,0.0,0.28,-0.0,0.0043,1.0,0.0086,3229,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V3,rtdetr-l,pt,cam_07,cam_07_20260506_131002,0.0,0.268,0.04,0.0017,1.0,0.0034,7107,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V3,yolo11s,fp32_engine,cam_02,cam_02_20260506_131002,-0.02,1.21,-0.026,0.0115,1.0,0.0228,1199,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V3,yolo11s,fp32_engine,cam_03,cam_03_20260506_131002,0.18,6.434,0.885,0.0833,0.8889,0.1524,88,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V3,yolo11s,fp32_engine,cam_05,cam_05_20260506_131002,0.04,3.488,0.785,0.0277,0.9286,0.0538,456,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V3,yolo11s,fp32_engine,cam_07,cam_07_20260506_131002,0.1,4.956,1.123,0.0042,1.0,0.0083,2853,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V3,yolo11s,pt,cam_02,cam_02_20260506_131002,0.0,4.274,0.474,0.0153,1.0,0.0301,902,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V3,yolo11s,pt,cam_03,cam_03_20260506_131002,0.2,6.168,0.875,0.0684,0.8889,0.127,109,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V3,yolo11s,pt,cam_05,cam_05_20260506_131002,0.06,1.292,0.086,0.0045,1.0,0.0089,3120,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V3,yolo11s,pt,cam_07,cam_07_20260506_131002,0.04,5.152,0.893,0.0024,1.0,0.0047,5062,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V3,yolov8n,fp32_engine,cam_02,cam_02_20260506_131002,0.18,3.76,0.929,0.0289,1.0,0.0561,471,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V3,yolov8n,fp32_engine,cam_03,cam_03_20260506_131002,0.56,6.76,1.623,0.2333,0.7778,0.359,23,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V3,yolov8n,fp32_engine,cam_05,cam_05_20260506_131002,0.16,1.536,0.194,0.0291,0.9286,0.0564,434,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V3,yolov8n,fp32_engine,cam_07,cam_07_20260506_131002,0.0,1.54,0.36,0.0046,0.9167,0.0091,2390,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V3,yolov8n,pt,cam_02,cam_02_20260506_131002,0.0,1.976,0.391,0.0245,0.9286,0.0478,517,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V3,yolov8n,pt,cam_03,cam_03_20260506_131002,0.2,6.544,1.055,0.1026,0.8889,0.1839,70,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V3,yolov8n,pt,cam_05,cam_05_20260506_131002,0.04,2.928,-0.308,0.0301,0.9286,0.0583,419,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V3,yolov8n,pt,cam_07,cam_07_20260506_131002,0.48,3.046,0.833,0.0183,1.0,0.0359,645,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V3,yolov8s,fp32_engine,cam_02,cam_02_20260506_131002,0.3,5.646,1.387,0.0142,0.8571,0.0279,833,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V3,yolov8s,fp32_engine,cam_03,cam_03_20260506_131002,0.56,6.812,1.634,0.14,0.7778,0.2373,43,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V3,yolov8s,fp32_engine,cam_05,cam_05_20260506_131002,0.08,5.296,0.705,0.0108,0.9286,0.0213,1195,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V3,yolov8s,fp32_engine,cam_07,cam_07_20260506_131002,0.06,3.872,0.727,0.0023,1.0,0.0046,5183,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V3,yolov8s,pt,cam_02,cam_02_20260506_131002,0.0,2.608,0.289,0.0161,0.9286,0.0316,795,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V3,yolov8s,pt,cam_03,cam_03_20260506_131002,0.0,6.336,-0.2,0.0811,1.0,0.15,102,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V3,yolov8s,pt,cam_05,cam_05_20260506_131002,0.0,1.314,-0.01,0.0243,0.8571,0.0473,481,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,tad,V3,yolov8s,pt,cam_07,cam_07_20260506_131002,0.0,0.232,-0.227,0.0024,1.0,0.0049,4922,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_tad.csv
phase3,trd,V2,rtdetr-l,pt,cam_02,cam_02_20260506_131002,5.26,6.214,5.26,0.3333,0.3333,0.3333,4,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V2,rtdetr-l,pt,cam_03,cam_03_20260506_131002,-0.24,1.592,-0.046,0.5,1.0,0.6667,7,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
phase3,trd,V2,rtdetr-l,pt,cam_05,cam_05_20260506_131002,-0.9,-0.63,-0.9,0.5,0.2857,0.3636,2,,,,,,Phase_3_Fusion_MultiCam\reports\campaign_zone1_20260511_091303\phase3\phase3_trd.csv
